task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	09/29cc2d	46136048	LDCALCULATION_getVCFandMAPfilesfrom1000GP	COMPLETED	0	2023-04-03 13:31:22.522	2m 57s	2m 50s	67.5%	103.5 MB	300 MB	14.5 GB	14.4 GB
2	fc/7b7ddb	46136045	PREPPAINTOR_splitlocus (1)	COMPLETED	0	2023-04-03 13:31:22.374	6m 3s	6m	527.0%	15.9 GB	33.6 GB	519.3 MB	341.4 MB
3	6e/e7de14	46137935	LDCALCULATION_sortlocus (1)	COMPLETED	0	2023-04-03 13:37:25.393	9.6s	77ms	29.3%	0	0	123.4 KB	24.5 KB
4	7d/a0796d	46137936	LDCALCULATION_sortlocus (2)	COMPLETED	0	2023-04-03 13:37:25.601	9.4s	89ms	27.4%	0	0	106.5 KB	11.7 KB
5	d1/702a55	46137937	LDCALCULATION_sortlocus (3)	COMPLETED	0	2023-04-03 13:37:25.756	9.4s	89ms	26.4%	0	0	111.4 KB	15.4 KB
7	e5/ce754a	46137938	LDCALCULATION_sortlocus (5)	COMPLETED	0	2023-04-03 13:37:25.957	9.2s	92ms	32.0%	0	0	106 KB	11.4 KB
6	ab/69c28f	46137939	LDCALCULATION_sortlocus (4)	COMPLETED	0	2023-04-03 13:37:26.113	9.2s	89ms	25.1%	0	0	97 KB	4.6 KB
9	da/f3c0eb	46137940	LDCALCULATION_sortlocus (7)	COMPLETED	0	2023-04-03 13:37:26.248	9.1s	79ms	26.3%	0	0	118.5 KB	20.7 KB
8	9b/bb7331	46137941	LDCALCULATION_sortlocus (6)	COMPLETED	0	2023-04-03 13:37:26.366	9s	76ms	26.9%	0	0	127.6 KB	28.6 KB
10	c4/d4e7e5	46137942	LDCALCULATION_sortlocus (8)	COMPLETED	0	2023-04-03 13:37:26.561	8.9s	94ms	24.5%	0	0	126.1 KB	27.1 KB
11	2c/945fa7	46137943	LDCALCULATION_sortlocus (9)	COMPLETED	0	2023-04-03 13:37:26.751	8.7s	88ms	25.1%	0	0	97.7 KB	5 KB
